feedback,meta_round,model,experiment_count,role_count,paired_replay_count,original_wac,original_wac_ci_low,original_wac_ci_high,reference_wac,reference_wac_ci_low,reference_wac_ci_high,wac_difference,wac_difference_ci_low,wac_difference_ci_high,original_mortality,original_mortality_ci_low,original_mortality_ci_high,reference_mortality,reference_mortality_ci_low,reference_mortality_ci_high,mortality_difference,mortality_difference_ci_low,mortality_difference_ci_high
OF,3,claude-sonnet-5,120,5,600,86.07499999999999,83.85365274599543,88.2842374469331,77.5,74.7539534783968,80.23976772664884,8.575,6.512366646537842,10.725463033865866,25.833333333333332,23.026624999999996,28.70698198198198,32.5,28.794548340548342,36.389732428223475,-6.666666666666667,-9.476736328805295,-3.8228703703703735
OF,3,deepseek-v4-flash,120,5,600,70.725,65.73462300736941,75.52776574693422,74.79166666666666,71.81284345124065,77.61320500541414,-4.066666666666667,-8.967427050111462,0.8168404219903413,43.33333333333333,37.52585542372836,49.67933942783751,37.166666666666664,33.21104596871839,40.96390836507715,6.166666666666667,-0.48422237411711094,12.883646088315093
OF,3,gemini-3.5-flash,120,5,600,86.50833333333334,84.78444829749104,88.11698495200451,77.5,74.90087502660383,80.46627542598318,9.008333333333333,6.696077380952381,11.362109584859585,25.5,22.796005866114566,28.278034785238958,32.833333333333336,28.863012823945173,36.70212998102466,-7.333333333333334,-11.03095238095238,-3.9521346469622336
OF,3,gpt-5.4,120,5,600,83.8,80.67010073172924,86.612289296702,76.3,73.26212482854802,79.30473026661272,7.5,4.040597192513369,10.871919637927409,27.666666666666668,23.145041407867495,32.06008895757179,32.50000000000001,28.28335387991895,36.42718774689363,-4.833333333333334,-9.23155762654118,-0.514791055718477
OF,3,gpt-5.4-nano,120,5,600,49.125,44.332446627375035,53.921247122312046,69.5,66.55496313504158,72.41614552677824,-20.375,-25.314495283148226,-15.355968139990157,67.83333333333334,61.62249961389076,73.7821204880606,42.166666666666664,38.405561113382696,45.9184147926037,25.666666666666664,19.774770845096928,31.504114561766738
OPF,1,claude-sonnet-5,120,5,600,80.33333333333333,76.70831175625999,83.64619802419803,75.38333333333334,72.3121453728461,78.49230730551126,4.950000000000001,2.031349364177385,7.994651416427774,32.5,27.74908032708033,37.40021612001017,36.333333333333336,32.46870941034556,40.19977558842546,-3.8333333333333335,-8.482569922830793,0.33038942538942395
OPF,1,deepseek-v4-flash,120,5,600,67.46666666666667,62.26765414068853,72.16468152709359,74.61666666666667,71.90915010434685,77.18879318086884,-7.15,-12.283432953792527,-2.2382067688378062,48.16666666666667,42.28097860110904,54.20790592366153,36.833333333333336,33.3974655486679,40.53663088679239,11.333333333333334,4.949596717874829,17.939513873297294
OPF,1,gemini-3.5-flash,120,5,600,85.49166666666667,83.47733267195767,87.65315928045116,77.725,74.54242917514685,80.99317852437417,7.766666666666666,4.912442051433184,10.584413507689433,26.333333333333336,22.607521028086417,29.860163182617597,31.833333333333336,27.393397074848693,36.168079963514735,-5.5,-9.354783432074866,-1.8276997994900843
OPF,1,gpt-5.4,120,5,600,78.31666666666668,74.64131439393941,81.67503236691749,74.70833333333334,72.33455038078394,77.1691990899859,3.608333333333333,0.21638239917976815,6.980120164541789,34.166666666666664,29.746394705146358,38.69938755990838,34.66666666666667,31.20459184693367,37.88956883729298,-0.5000000000000003,-4.964520655270655,4.061875652729937
OPF,1,gpt-5.4-nano,120,5,600,61.75833333333334,56.67897361994679,66.7843155697195,71.9,69.08891897624436,74.97833253126183,-10.141666666666667,-15.331947619047618,-4.711190445862986,52.333333333333336,46.19593040570076,58.70623465828887,39.83333333333333,35.879612044817925,43.52578997781811,12.500000000000002,5.795262513653817,19.31335232870578
OPF,2,claude-sonnet-5,120,5,600,83.725,80.94036078904992,86.6296,77.79166666666667,74.79296981352927,80.61955292190106,5.933333333333333,3.225338813360553,8.54584211957633,29.0,24.503473700749304,33.52419271533064,33.5,30.04591547049442,36.758152541500365,-4.500000000000001,-8.452512691986376,-0.36017044147478916
OPF,2,deepseek-v4-flash,120,5,600,67.9,63.45332395793861,72.08013030001474,70.01666666666668,66.99773039215687,73.14998893280632,-2.1166666666666663,-6.8238825721634075,2.14399286872971,45.83333333333333,40.83500859666649,51.06765614267297,41.5,37.257534447062184,45.52526406926407,4.333333333333334,-0.8588063445897055,10.135228367015518
OPF,2,gemini-3.5-flash,120,5,600,87.18333333333334,84.62911716073555,89.7469079511471,78.55833333333334,75.57729225255031,81.5524216554458,8.625,6.367761448384871,11.086333658008657,24.333333333333336,20.03880577881485,28.779101010101012,31.166666666666664,27.15178126845668,35.026948125143775,-6.833333333333333,-10.48169359847726,-3.070302488461653
OPF,2,gpt-5.4,120,5,600,81.44166666666668,77.85429231228541,84.7559543018451,73.80833333333332,70.8871656673467,76.92911027769607,7.633333333333333,4.0232072144075035,11.154823645879079,31.833333333333336,27.4102711274233,36.52785839359331,37.33333333333333,33.30781045751634,40.81566381987577,-5.5,-10.551429502885453,-0.16456920041477996
OPF,2,gpt-5.4-nano,120,5,600,62.61666666666666,58.595865366469695,66.51492374586198,71.36666666666666,68.58609125384024,74.02190841559262,-8.75,-13.096682238642583,-4.883888002090789,51.666666666666664,46.83465517241379,56.940094954964536,40.83333333333333,37.27403304756246,44.21977068824894,10.833333333333332,6.031104955483338,15.790587916984974
OPF,3,claude-sonnet-5,120,5,600,84.38333333333334,81.63187133122028,87.25326599647059,76.575,73.57671789818164,79.38774311717518,7.8083333333333345,5.117765830770106,10.380372466905076,28.333333333333332,23.934583975411563,32.671440327646216,35.49999999999999,31.80941624743543,39.26900379207477,-7.166666666666667,-11.336786982174914,-3.0542937519620303
OPF,3,deepseek-v4-flash,120,5,600,67.78333333333333,63.68136667380595,71.72313427683427,72.80833333333334,70.17576083011126,75.5940782317744,-5.025,-9.963227525335077,-0.20739946129692122,47.33333333333333,42.42232054787318,52.40261880129052,39.33333333333333,35.636850719598186,42.76684321234321,8.0,2.4146753263639673,13.939572735114224
OPF,3,gemini-3.5-flash,120,5,600,86.925,84.20616276115189,89.59375870362076,77.70833333333333,74.50652950613862,81.2190569074929,9.216666666666665,6.370835864445597,12.254756790279215,25.833333333333332,21.14678306639597,30.212727753727755,33.33333333333333,28.88738016757172,37.84613766788767,-7.5,-11.43516923565867,-3.2477605977308883
OPF,3,gpt-5.4,120,5,600,82.00833333333334,79.16651710925694,84.6443605168836,75.21666666666667,72.5819237947371,78.08783234935564,6.791666666666667,3.7048740593647134,9.910746487822818,30.333333333333336,26.58366893742069,34.48740987977948,35.66666666666667,31.991463696723066,39.35117845117845,-5.333333333333333,-9.103176767676768,-1.6311114038091756
OPF,3,gpt-5.4-nano,120,5,600,68.08333333333334,63.91679029733385,71.87243575533662,73.54166666666666,70.69760134984573,76.41672605244999,-5.458333333333334,-9.816974780150524,-1.2662112977375082,46.0,41.10479296066253,51.14878414762037,38.666666666666664,34.640742047807265,42.43684477553128,7.333333333333333,1.7182681655262304,12.764389572646687
