feedback,batch,experiment_id,focal_agent,model,seed,episode_days,scenario,baseline_stratum,baseline_policy_hash,adapted_policy_hash,opponent_policy_hashes,baseline_survival_days,adapted_survival_days,survival_gain,baseline_dead,adapted_dead,mortality_change,death_to_survival,survival_to_death,baseline_final_hp,adapted_final_hp,baseline_final_budget,adapted_final_budget,baseline_total_bid,adapted_total_bid,baseline_value,adapted_value,value_gain,improved,tied,degraded
OF,OF,exp_003,Eric,claude-sonnet-5,10,20,medium,died_before_day_10,f7f2fd4dd1743650,27e29e84400f0c6b,"{""Alex"": ""d7077b0c93ab7677"", ""Bob"": ""a3d498636089dad8"", ""Cindy"": ""29688bd5b53b5e22"", ""David"": ""1fb4e8161b66b9fb""}",8.0,20.0,12.0,1,0,-1,1,0,0.0,8.0,0.0,361.0782522160278,931.5343800000002,3478.1898258737683,8.0,20.022118012348777,12.022118012348777,1,0,0
OF,OF,exp_003,Eric,claude-sonnet-5,42,20,medium,completed_20_days,f7f2fd4dd1743650,27e29e84400f0c6b,"{""Alex"": ""d7077b0c93ab7677"", ""Bob"": ""a3d498636089dad8"", ""Cindy"": ""29688bd5b53b5e22"", ""David"": ""1fb4e8161b66b9fb""}",20.0,20.0,0.0,0,0,0,0,0,6.0,5.0,43.13131899999999,456.64503001741394,3270.9836669999995,3756.0321044582465,20.014652477202382,20.015787797874296,0.0011353206719135756,1,0,0
OF,OF,exp_003,Eric,claude-sonnet-5,98,20,medium,died_before_day_10,f7f2fd4dd1743650,27e29e84400f0c6b,"{""Alex"": ""d7077b0c93ab7677"", ""Bob"": ""a3d498636089dad8"", ""Cindy"": ""29688bd5b53b5e22"", ""David"": ""1fb4e8161b66b9fb""}",5.0,20.0,15.0,1,0,-1,1,0,0.0,10.0,0.0,635.0716560992496,449.95327999999995,3364.009991157602,5.0,20.029209792994042,15.029209792994042,1,0,0
OF,OF,exp_003,Eric,claude-sonnet-5,197,20,medium,completed_20_days,f7f2fd4dd1743650,27e29e84400f0c6b,"{""Alex"": ""d7077b0c93ab7677"", ""Bob"": ""a3d498636089dad8"", ""Cindy"": ""29688bd5b53b5e22"", ""David"": ""1fb4e8161b66b9fb""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,628.3496195824746,647.5005789135756,3382.8945172892413,3480.0418405386918,20.026771680438628,20.02693452873226,0.0001628482936304465,1,0,0
OF,OF,exp_003,Eric,claude-sonnet-5,666,20,medium,died_before_day_10,f7f2fd4dd1743650,27e29e84400f0c6b,"{""Alex"": ""d7077b0c93ab7677"", ""Bob"": ""a3d498636089dad8"", ""Cindy"": ""29688bd5b53b5e22"", ""David"": ""1fb4e8161b66b9fb""}",6.0,20.0,14.0,1,0,-1,1,0,0.0,10.0,0.0,529.1503166971322,582.8905599999999,3250.141478840113,6.0,20.028309101332457,14.028309101332457,1,0,0
OF,OF,exp_004,David,claude-sonnet-5,10,20,medium,completed_20_days,eae8554205a651b6,cb09999627125ecd,"{""Alex"": ""305b7ad978f6b5ad"", ""Bob"": ""1c434464000cf516"", ""Cindy"": ""385df063514b1825"", ""Eric"": ""d1f3ee64301248e3""}",20.0,20.0,0.0,0,0,0,0,0,7.0,7.0,227.006102091203,164.6309706604194,2401.867460937041,2398.8625670123834,20.020044733662072,20.019116532301496,-0.0009282013605762529,0,0,1
OF,OF,exp_004,David,claude-sonnet-5,42,20,medium,died_before_day_10,eae8554205a651b6,cb09999627125ecd,"{""Alex"": ""305b7ad978f6b5ad"", ""Bob"": ""1c434464000cf516"", ""Cindy"": ""385df063514b1825"", ""Eric"": ""d1f3ee64301248e3""}",3.0,3.0,0.0,1,1,0,0,0,-2.0,-2.0,0.0,0.0,392.934573625,582.4038142165,3.0,3.0,0.0,0,1,0
OF,OF,exp_004,David,claude-sonnet-5,98,20,medium,completed_20_days,eae8554205a651b6,cb09999627125ecd,"{""Alex"": ""305b7ad978f6b5ad"", ""Bob"": ""1c434464000cf516"", ""Cindy"": ""385df063514b1825"", ""Eric"": ""d1f3ee64301248e3""}",20.0,20.0,0.0,0,0,0,0,0,5.0,5.0,137.19911086874998,48.54306099600001,2756.411016525,2821.30438211848,20.01394641534031,20.012627128883867,-0.0013192864564430806,0,0,1
OF,OF,exp_004,David,claude-sonnet-5,197,20,medium,died_before_day_10,eae8554205a651b6,cb09999627125ecd,"{""Alex"": ""305b7ad978f6b5ad"", ""Bob"": ""1c434464000cf516"", ""Cindy"": ""385df063514b1825"", ""Eric"": ""d1f3ee64301248e3""}",3.0,3.0,0.0,1,1,0,0,0,-2.0,-2.0,0.0,0.0,400.08439322500004,592.8150172165001,3.0,3.0,0.0,0,1,0
OF,OF,exp_004,David,claude-sonnet-5,666,20,medium,completed_20_days,eae8554205a651b6,cb09999627125ecd,"{""Alex"": ""305b7ad978f6b5ad"", ""Bob"": ""1c434464000cf516"", ""Cindy"": ""385df063514b1825"", ""Eric"": ""d1f3ee64301248e3""}",20.0,20.0,0.0,0,0,0,0,0,6.0,8.0,234.41358868367257,176.397210832,2588.992815193303,2340.517461137484,20.017774011736364,20.021672577542144,0.0038985658057804073,1,0,0
OF,OF,exp_005,Cindy,claude-sonnet-5,10,20,medium,completed_20_days,d13c0eacf485f5fc,9b2916b1e214244c,"{""Alex"": ""e281e06eebe2dd3e"", ""Bob"": ""e42632d6a19c2b5d"", ""David"": ""cc717a6352254582"", ""Eric"": ""e495809e0b369a1d""}",20.0,20.0,0.0,0,0,0,0,0,8.0,8.0,1206.4994807564071,601.4677310699999,3536.4171539603512,4126.128614474351,20.028623011752035,20.02382117246881,-0.004801839283224751,0,0,1
OF,OF,exp_005,Cindy,claude-sonnet-5,42,20,medium,completed_20_days,d13c0eacf485f5fc,9b2916b1e214244c,"{""Alex"": ""e281e06eebe2dd3e"", ""Bob"": ""e42632d6a19c2b5d"", ""David"": ""cc717a6352254582"", ""Eric"": ""e495809e0b369a1d""}",20.0,20.0,0.0,0,0,0,0,0,8.0,8.0,1365.0915031250918,570.5878261614735,3066.3505581424224,4217.009769983918,20.02988167859623,20.023576093858424,-0.006305584737805958,0,0,1
OF,OF,exp_005,Cindy,claude-sonnet-5,98,20,medium,completed_20_days,d13c0eacf485f5fc,9b2916b1e214244c,"{""Alex"": ""e281e06eebe2dd3e"", ""Bob"": ""e42632d6a19c2b5d"", ""David"": ""cc717a6352254582"", ""Eric"": ""e495809e0b369a1d""}",20.0,20.0,0.0,0,0,0,0,0,8.0,10.0,1182.0217348807428,873.7662147583999,3398.4703492871768,3350.629383403028,20.028428743927623,20.030744176307607,0.002315432379983662,1,0,0
OF,OF,exp_005,Cindy,claude-sonnet-5,197,20,medium,completed_20_days,d13c0eacf485f5fc,9b2916b1e214244c,"{""Alex"": ""e281e06eebe2dd3e"", ""Bob"": ""e42632d6a19c2b5d"", ""David"": ""cc717a6352254582"", ""Eric"": ""e495809e0b369a1d""}",20.0,20.0,0.0,0,0,0,0,0,8.0,8.0,1305.0287016110187,628.3152726246237,3291.288209740411,3904.5689406754473,20.029404989695326,20.024034248195434,-0.005370741499891807,0,0,1
OF,OF,exp_005,Cindy,claude-sonnet-5,666,20,medium,completed_20_days,d13c0eacf485f5fc,9b2916b1e214244c,"{""Alex"": ""e281e06eebe2dd3e"", ""Bob"": ""e42632d6a19c2b5d"", ""David"": ""cc717a6352254582"", ""Eric"": ""e495809e0b369a1d""}",20.0,20.0,0.0,0,0,0,0,0,8.0,7.0,1408.0585265326083,958.78854368,3065.593623991179,3693.6100074219517,20.030222686718513,20.024276099553017,-0.005946587165496453,0,0,1
OF,OF,exp_006,Cindy,claude-sonnet-5,10,20,medium,completed_20_days,12d5811d44c46102,5db0d46e3d2b7073,"{""Alex"": ""b5d80f6315e5f624"", ""Bob"": ""d0c503b48e6d3822"", ""David"": ""25d5d1f4f41a3960"", ""Eric"": ""011852da672c7229""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,475.8029392694669,763.750694164056,4143.4715374675125,3926.481220432652,20.02758573761325,20.02987103725527,0.0022852996420184013,1,0,0
OF,OF,exp_006,Cindy,claude-sonnet-5,42,20,medium,completed_20_days,12d5811d44c46102,5db0d46e3d2b7073,"{""Alex"": ""b5d80f6315e5f624"", ""Bob"": ""d0c503b48e6d3822"", ""David"": ""25d5d1f4f41a3960"", ""Eric"": ""011852da672c7229""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,496.4038910782476,534.7901112830854,4103.078020235955,3772.094749423917,20.02774923723078,20.02805388977209,0.0003046525413097356,1,0,0
OF,OF,exp_006,Cindy,claude-sonnet-5,98,20,medium,completed_20_days,12d5811d44c46102,5db0d46e3d2b7073,"{""Alex"": ""b5d80f6315e5f624"", ""Bob"": ""d0c503b48e6d3822"", ""David"": ""25d5d1f4f41a3960"", ""Eric"": ""011852da672c7229""}",20.0,20.0,0.0,0,0,0,0,0,9.0,10.0,626.9511660746954,595.2585227086935,4197.4765981713845,4037.844391931602,20.026404374333925,20.028533797799277,0.0021294234653517208,1,0,0
OF,OF,exp_006,Cindy,claude-sonnet-5,197,20,medium,completed_20_days,12d5811d44c46102,5db0d46e3d2b7073,"{""Alex"": ""b5d80f6315e5f624"", ""Bob"": ""d0c503b48e6d3822"", ""David"": ""25d5d1f4f41a3960"", ""Eric"": ""011852da672c7229""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,479.47855156189644,543.798685556527,3769.60354111125,4350.287585722586,20.02761490913938,20.028125386393306,0.0005104772539255009,1,0,0
OF,OF,exp_006,Cindy,claude-sonnet-5,666,20,medium,completed_20_days,12d5811d44c46102,5db0d46e3d2b7073,"{""Alex"": ""b5d80f6315e5f624"", ""Bob"": ""d0c503b48e6d3822"", ""David"": ""25d5d1f4f41a3960"", ""Eric"": ""011852da672c7229""}",20.0,20.0,0.0,0,0,0,0,0,9.0,6.0,349.6013545312444,826.4004024475657,4330.55591399593,4396.046727647882,20.02420318535342,20.020844447638474,-0.003358737714947324,0,0,1
OF,OF,exp_007,Eric,claude-sonnet-5,10,20,medium,completed_20_days,e58d5e325f284743,37147eb7c45902ab,"{""Alex"": ""5e08b99ab2b4fef4"", ""Bob"": ""36281bda7de7aa1a"", ""Cindy"": ""c20abfa44c550084"", ""David"": ""af508bb4bb43bd27""}",20.0,20.0,0.0,0,0,0,0,0,5.0,5.0,568.5530600000001,615.953046,3670.8400414231596,3577.691164877991,20.016739396768706,20.01714245787415,0.00040306110544463536,1,0,0
OF,OF,exp_007,Eric,claude-sonnet-5,42,20,medium,completed_20_days,e58d5e325f284743,37147eb7c45902ab,"{""Alex"": ""5e08b99ab2b4fef4"", ""Bob"": ""36281bda7de7aa1a"", ""Cindy"": ""c20abfa44c550084"", ""David"": ""af508bb4bb43bd27""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,161.0,156.8,4081.1352748443455,3965.2258357916667,20.02279761904762,20.022761904761904,-3.5714285715471306e-05,0,0,1
OF,OF,exp_007,Eric,claude-sonnet-5,98,20,medium,completed_20_days,e58d5e325f284743,37147eb7c45902ab,"{""Alex"": ""5e08b99ab2b4fef4"", ""Bob"": ""36281bda7de7aa1a"", ""Cindy"": ""c20abfa44c550084"", ""David"": ""af508bb4bb43bd27""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,21.0,16.80000000000001,3732.98758325,3727.567542083333,20.023988095238096,20.02395238095238,-3.5714285715471306e-05,0,0,1
OF,OF,exp_007,Eric,claude-sonnet-5,197,20,medium,completed_20_days,e58d5e325f284743,37147eb7c45902ab,"{""Alex"": ""5e08b99ab2b4fef4"", ""Bob"": ""36281bda7de7aa1a"", ""Cindy"": ""c20abfa44c550084"", ""David"": ""af508bb4bb43bd27""}",20.0,20.0,0.0,0,0,0,0,0,10.0,9.0,41.74647551999993,16.80000000000001,3953.5948262470024,4200.197406342118,20.02416451084626,20.021571428571427,-0.0025930822748314597,0,0,1
OF,OF,exp_007,Eric,claude-sonnet-5,666,20,medium,completed_20_days,e58d5e325f284743,37147eb7c45902ab,"{""Alex"": ""5e08b99ab2b4fef4"", ""Bob"": ""36281bda7de7aa1a"", ""Cindy"": ""c20abfa44c550084"", ""David"": ""af508bb4bb43bd27""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,161.0,156.8,3688.955288164657,3668.2441482837166,20.02279761904762,20.022761904761904,-3.5714285715471306e-05,0,0,1
OF,OF,exp_008,David,claude-sonnet-5,10,20,medium,died_before_day_10,3ce6c553191bcb37,6a45cf6a2da81415,"{""Alex"": ""44b13ab1f48926e9"", ""Bob"": ""35a756f6110bf16b"", ""Cindy"": ""106377942f3703db"", ""Eric"": ""88bf1a4ff82328a4""}",6.0,13.0,7.0,1,1,0,0,0,0.0,-1.0,0.0,0.0,796.429505133227,1866.6054392065757,6.0,13.0,7.0,1,0,0
OF,OF,exp_008,David,claude-sonnet-5,42,20,medium,completed_20_days,3ce6c553191bcb37,6a45cf6a2da81415,"{""Alex"": ""44b13ab1f48926e9"", ""Bob"": ""35a756f6110bf16b"", ""Cindy"": ""106377942f3703db"", ""Eric"": ""88bf1a4ff82328a4""}",20.0,20.0,0.0,0,0,0,0,0,6.0,3.0,164.4957330530468,141.97622334,3189.530240382922,2886.3381810239944,20.016733567456146,20.00925559856161,-0.007477968894537668,0,0,1
OF,OF,exp_008,David,claude-sonnet-5,98,20,medium,survived_days_10_19,3ce6c553191bcb37,6a45cf6a2da81415,"{""Alex"": ""44b13ab1f48926e9"", ""Bob"": ""35a756f6110bf16b"", ""Cindy"": ""106377942f3703db"", ""Eric"": ""88bf1a4ff82328a4""}",12.0,12.0,0.0,1,1,0,0,0,-2.0,-2.0,0.0,0.0,2043.2292677504008,1860.5689523837211,12.0,12.0,0.0,0,1,0
OF,OF,exp_008,David,claude-sonnet-5,197,20,medium,completed_20_days,3ce6c553191bcb37,6a45cf6a2da81415,"{""Alex"": ""44b13ab1f48926e9"", ""Bob"": ""35a756f6110bf16b"", ""Cindy"": ""106377942f3703db"", ""Eric"": ""88bf1a4ff82328a4""}",20.0,20.0,0.0,0,0,0,0,0,5.0,9.0,236.09324370395382,156.91084060275182,2821.577677480716,2516.199908227654,20.015418054221787,20.023763554175638,0.008345499953851032,1,0,0
OF,OF,exp_008,David,claude-sonnet-5,666,20,medium,died_before_day_10,3ce6c553191bcb37,6a45cf6a2da81415,"{""Alex"": ""44b13ab1f48926e9"", ""Bob"": ""35a756f6110bf16b"", ""Cindy"": ""106377942f3703db"", ""Eric"": ""88bf1a4ff82328a4""}",6.0,10.0,4.0,1,1,0,0,0,0.0,0.0,0.0,0.0,800.0950525110516,1527.321281657381,6.0,10.0,4.0,1,0,0
OF,OF,exp_009,Eric,claude-sonnet-5,10,20,medium,completed_20_days,11a0d4081d7e60e2,c427155b64a2a6ba,"{""Alex"": ""9222fbd6720e1191"", ""Bob"": ""0dc4c43c3552d908"", ""Cindy"": ""8e93d218246ad0c7"", ""David"": ""9795e06a7d2b3a7f""}",20.0,20.0,0.0,0,0,0,0,0,10.0,9.0,424.71335496130706,435.1525871255593,3938.4648056780584,4419.795283512877,20.027421031929943,20.02512884852998,-0.0022921833999625107,0,0,1
OF,OF,exp_009,Eric,claude-sonnet-5,42,20,medium,completed_20_days,11a0d4081d7e60e2,c427155b64a2a6ba,"{""Alex"": ""9222fbd6720e1191"", ""Bob"": ""0dc4c43c3552d908"", ""Cindy"": ""8e93d218246ad0c7"", ""David"": ""9795e06a7d2b3a7f""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,269.6709921398374,232.03948591109548,3836.4649325147248,3903.292720159447,20.026102644490987,20.02578264868972,-0.00031999580126651495,0,0,1
OF,OF,exp_009,Eric,claude-sonnet-5,98,20,medium,completed_20_days,11a0d4081d7e60e2,c427155b64a2a6ba,"{""Alex"": ""9222fbd6720e1191"", ""Bob"": ""0dc4c43c3552d908"", ""Cindy"": ""8e93d218246ad0c7"", ""David"": ""9795e06a7d2b3a7f""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,415.63452074507313,376.66453940858895,3820.7266346533397,3894.3658731052624,20.024962878577764,20.024631501185446,-0.00033137739231747787,0,0,1
OF,OF,exp_009,Eric,claude-sonnet-5,197,20,medium,completed_20_days,11a0d4081d7e60e2,c427155b64a2a6ba,"{""Alex"": ""9222fbd6720e1191"", ""Bob"": ""0dc4c43c3552d908"", ""Cindy"": ""8e93d218246ad0c7"", ""David"": ""9795e06a7d2b3a7f""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,220.71793204773638,194.780852573641,3924.5859308802637,3964.2114019733585,20.025686376973194,20.025465823576308,-0.0002205533968862028,0,0,1
OF,OF,exp_009,Eric,claude-sonnet-5,666,20,medium,completed_20_days,11a0d4081d7e60e2,c427155b64a2a6ba,"{""Alex"": ""9222fbd6720e1191"", ""Bob"": ""0dc4c43c3552d908"", ""Cindy"": ""8e93d218246ad0c7"", ""David"": ""9795e06a7d2b3a7f""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,434.9939203149861,402.9252213540285,3711.8913830010433,3757.9234881762204,20.02750845170336,20.027235758684984,-0.00027269301837407056,0,0,1
OF,OF,exp_010,David,claude-sonnet-5,10,20,medium,completed_20_days,4b0914fd71487675,e630d5e4e0850f51,"{""Alex"": ""58658144f8735294"", ""Bob"": ""26a5dabcd08f0697"", ""Cindy"": ""fa7705514e6ab921"", ""Eric"": ""c0e87b479568d041""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,122.6117282397385,135.36767270572267,2382.0318436749253,2353.593670528474,20.023253150717853,20.023442971320026,0.00018982060217354046,1,0,0
OF,OF,exp_010,David,claude-sonnet-5,42,20,medium,completed_20_days,4b0914fd71487675,e630d5e4e0850f51,"{""Alex"": ""58658144f8735294"", ""Bob"": ""26a5dabcd08f0697"", ""Cindy"": ""fa7705514e6ab921"", ""Eric"": ""c0e87b479568d041""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,49.25267520788576,97.45419930835394,2622.7339813664044,2840.0267567174146,20.024542450523928,20.025259735108754,0.0007172845848266718,1,0,0
OF,OF,exp_010,David,claude-sonnet-5,98,20,medium,completed_20_days,4b0914fd71487675,e630d5e4e0850f51,"{""Alex"": ""58658144f8735294"", ""Bob"": ""26a5dabcd08f0697"", ""Cindy"": ""fa7705514e6ab921"", ""Eric"": ""c0e87b479568d041""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,84.19267998062509,172.01347981388813,2667.5135976230404,2320.128286717388,20.02268143869019,20.023988295830563,0.0013068571403742624,1,0,0
OF,OF,exp_010,David,claude-sonnet-5,197,20,medium,completed_20_days,4b0914fd71487675,e630d5e4e0850f51,"{""Alex"": ""58658144f8735294"", ""Bob"": ""26a5dabcd08f0697"", ""Cindy"": ""fa7705514e6ab921"", ""Eric"": ""c0e87b479568d041""}",20.0,20.0,0.0,0,0,0,0,0,9.0,9.0,107.24067758768717,116.70099969183951,2542.812892328339,2858.304066532448,20.023024414845054,20.023165193447795,0.0001407786027414204,1,0,0
OF,OF,exp_010,David,claude-sonnet-5,666,20,medium,completed_20_days,4b0914fd71487675,e630d5e4e0850f51,"{""Alex"": ""58658144f8735294"", ""Bob"": ""26a5dabcd08f0697"", ""Cindy"": ""fa7705514e6ab921"", ""Eric"": ""c0e87b479568d041""}",20.0,5.0,-15.0,0,1,1,0,1,6.0,-1.0,169.12057564363457,0.0,2445.61636467815,495.09614999999997,20.016802389518507,5.0,-15.016802389518507,0,0,1
OF,OF,exp_011,Cindy,claude-sonnet-5,10,20,medium,completed_20_days,3d2168eeb11203ca,ca0743c679a3a861,"{""Alex"": ""ec76d202f6543861"", ""Bob"": ""c0c7852794bbfff5"", ""David"": ""e04cc3c520aaacd9"", ""Eric"": ""67ba3871366cff81""}",20.0,20.0,0.0,0,0,0,0,0,9.0,10.0,808.0603525606836,170.74964749895457,4080.1810543950137,3577.9135310900297,20.027841748829847,20.025164679742055,-0.0026770690877917502,0,0,1
OF,OF,exp_011,Cindy,claude-sonnet-5,42,20,medium,completed_20_days,3d2168eeb11203ca,ca0743c679a3a861,"{""Alex"": ""ec76d202f6543861"", ""Bob"": ""c0c7852794bbfff5"", ""David"": ""e04cc3c520aaacd9"", ""Eric"": ""67ba3871366cff81""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,565.0944913311993,214.49422096430533,3389.721399080805,3808.8016574187122,20.02829440072485,20.025511858896543,-0.002782541828306506,0,0,1
OF,OF,exp_011,Cindy,claude-sonnet-5,98,20,medium,completed_20_days,3d2168eeb11203ca,ca0743c679a3a861,"{""Alex"": ""ec76d202f6543861"", ""Bob"": ""c0c7852794bbfff5"", ""David"": ""e04cc3c520aaacd9"", ""Eric"": ""67ba3871366cff81""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,666.5437540495027,153.5114322213741,3703.621471370234,3815.874365317576,20.02909955360357,20.025027868509692,-0.004071685093876454,0,0,1
OF,OF,exp_011,Cindy,claude-sonnet-5,197,20,medium,completed_20_days,3d2168eeb11203ca,ca0743c679a3a861,"{""Alex"": ""ec76d202f6543861"", ""Bob"": ""c0c7852794bbfff5"", ""David"": ""e04cc3c520aaacd9"", ""Eric"": ""67ba3871366cff81""}",20.0,20.0,0.0,0,0,0,0,0,10.0,10.0,500.9032622396512,211.29576503337424,3293.73299376962,3773.616441997876,20.02778494652571,20.02548647432566,-0.0022984722000494173,0,0,1
OF,OF,exp_011,Cindy,claude-sonnet-5,666,20,medium,completed_20_days,3d2168eeb11203ca,ca0743c679a3a861,"{""Alex"": ""ec76d202f6543861"", ""Bob"": ""c0c7852794bbfff5"", ""David"": ""e04cc3c520aaacd9"", ""Eric"": ""67ba3871366cff81""}",20.0,20.0,0.0,0,0,0,0,0,9.0,10.0,707.2133376103502,135.90627791308594,4120.462971446067,4499.321354791133,20.02704137569532,20.024888145062803,-0.0021532306325156014,0,0,1
OF,OF,exp_012,Cindy,claude-sonnet-5,10,20,medium,completed_20_days,351260060aea1c12,5b2e20c2a44831d2,"{""Alex"": ""ebb21a44a499d482"", ""Bob"": ""8799f7ff44748e92"", ""David"": ""e948dda8c702bd49"", ""Eric"": ""2925c476db59545d""}",20.0,20.0,0.0,0,0,0,0,0,10.0,8.0,667.1292092480428,1018.7283068205444,3907.19912704716,3647.520278594321,20.029104200073398,20.027132764339846,-0.0019714357335516297,0,0,1
