group_level,model,condition,failure_mode,averaged_count,rate_all_items,rate_attributable,any_mode_count,any_mode_rate_all_items,paired_item_count
model_condition,gpt-5.4,OF,allocation_context_misreasoning,0.5,0.004505,0.005291,0.5,0.004505,111
model_condition,gpt-5.4,OPF,fatal_undercommitment,43.5,0.375,0.443878,49.0,0.422414,116
model_condition,gpt-5.4,OPF,winners_curse_overpayment,28.5,0.24569,0.290816,35.0,0.301724,116
model_condition,gpt-5.4,OPF,emergency_response_failure,3.5,0.030172,0.035714,3.5,0.030172,116
model_condition,gpt-5.4,OPF,competitive_threshold_miscalibration,21.5,0.185345,0.219388,42.5,0.366379,116
model_condition,gpt-5.4,OPF,allocation_context_misreasoning,1.0,0.008621,0.010204,1.5,0.012931,116
model_condition,gpt-5.4-nano,OF,fatal_undercommitment,149.0,0.579767,0.610656,178.0,0.692607,257
model_condition,gpt-5.4-nano,OF,winners_curse_overpayment,3.0,0.011673,0.012295,11.0,0.042802,257
model_condition,gpt-5.4-nano,OF,emergency_response_failure,27.0,0.105058,0.110656,35.0,0.136187,257
model_condition,gpt-5.4-nano,OF,competitive_threshold_miscalibration,60.0,0.233463,0.245902,151.5,0.589494,257
model_condition,gpt-5.4-nano,OF,allocation_context_misreasoning,5.0,0.019455,0.020492,5.5,0.021401,257
model_condition,gpt-5.4-nano,OPF,fatal_undercommitment,138.5,0.69598,0.723238,154.5,0.776382,199
model_condition,gpt-5.4-nano,OPF,winners_curse_overpayment,4.5,0.022613,0.023499,8.0,0.040201,199
model_condition,gpt-5.4-nano,OPF,emergency_response_failure,8.5,0.042714,0.044386,16.0,0.080402,199
model_condition,gpt-5.4-nano,OPF,competitive_threshold_miscalibration,39.0,0.19598,0.203655,115.5,0.580402,199
model_condition,gpt-5.4-nano,OPF,allocation_context_misreasoning,1.0,0.005025,0.005222,1.0,0.005025,199
